Country,1800,1801,1802
ABW,1,0,0
AFG,4,0,0
AGO,1,0,0
AIA,1,0,0
ALB,1,0,0
AND,1,0,0
ARE,1,0,0
ARG,1,0,0
ARM,1,0,0
ATA,2,0,0
ATG,1,0,0
AUS,1,0,0
AUT,1,0,0
AZE,2,0,0
BDI,3,0,0
BEL,2,0,0
BEN,1,0,0
BES,1,0,0
BFA,3,0,0
BGD,2,0,0
BGR,1,0,0
BHR,1,0,0
BHS,2,0,0
BIH,2,0,0
MTQ,1,0,0
BLR,1,0,0
BLZ,2,0,0
BMU,1,0,0
BOL,1,0,0
BRA,2,0,0
BRB,1,0,0
BRN,1,0,0
BTN,1,0,0
BWA,1,0,0
CAF,4,0,0
CAN,1,0,0
LIE,1,0,0
CHL,1,0,0
CHN,2,0,0
CMR,2,0,0
COD,3,0,0
COG,2,0,0
COL,2,0,0
COM,1,0,0
CPV,1,0,0
CRI,1,0,0
CUB,3,0,0
CUW,1,0,0
CYM,1,0,0
CYP,1,0,0
DEU,2,0,0
DJI,1,0,0
DMA,1,0,0
DNK,2,0,0
DOM,2,0,0
DZA,2,0,0
ECU,1,0,0
EGY,2,0,0
ERI,2,0,0
ESP,2,0,0
EST,1,0,0
ETH,2,0,0
FIN,1,0,0
FJI,1,0,0
IMN,2,0,0
MCO,2,0,0
FSM,1,0,0
GAB,1,0,0
GEO,1,0,0
GHA,1,0,0
GIN,2,0,0
GMB,1,0,0
GNB,3,0,0
GNQ,1,0,0
GRC,1,0,0
GRD,1,0,0
GTM,3,0,0
GUF,1,0,0
GUY,2,0,0
HKG,1,0,0
HND,3,0,0
HRV,1,0,0
HTI,3,0,0
HUN,1,0,0
IDN,2,0,0
IND,2,0,0
IRL,1,0,0
IRN,4,0,0
IRQ,4,0,0
ISL,1,0,0
ISR,2,0,0
VAT,2,0,0
JAM,2,0,0
JOR,2,0,0
JPN,1,0,0
KAZ,1,0,0
KEN,2,0,0
KGZ,1,0,0
KHM,1,0,0
KIR,1,0,0
KNA,1,0,0
KOR,1,0,0
KWT,1,0,0
LAO,1,0,0
LBN,3,0,0
LBR,1,0,0
LBY,4,0,0
LCA,1,0,0
LKA,1,0,0
LSO,1,0,0
LTU,1,0,0
LUX,1,0,0
LVA,1,0,0
MAC,1,0,0
MAR,1,0,0
MDA,1,0,0
MDG,1,0,0
MDV,2,0,0
MEX,2,0,0
MHL,1,0,0
MKD,1,0,0
MLI,4,0,0
MLT,1,0,0
MMR,1,0,0
MNE,1,0,0
MNG,1,0,0
MOZ,1,0,0
MRT,3,0,0
MSR,1,0,0
MUS,1,0,0
MWI,1,0,0
MYS,1,0,0
NAM,1,0,0
NCL,1,0,0
NER,3,0,0
NGA,3,0,0
NIC,2,0,0
NLD,1,0,0
NOR,1,0,0
NPL,2,0,0
NRU,1,0,0
NZL,1,0,0
OMN,1,0,0
PAK,3,0,0
PAN,1,0,0
PER,1,0,0
PHL,2,0,0
PLW,1,0,0
PNG,2,0,0
POL,1,0,0
PRK,4,0,0
PRT,1,0,0
PRY,1,0,0
PYF,1,0,0
QAT,1,0,0
ROU,1,0,0
RUS,3,0,0
RWA,1,0,0
SAU,2,0,0
SDN,3,0,0
SEN,1,0,0
SGP,1,0,0
SLB,1,0,0
SLE,2,0,0
SLV,3,0,0
SOM,4,0,0
SRB,1,0,0
SSD,4,0,0
STP,1,0,0
SUR,1,0,0
SVK,1,0,0
SVN,1,0,0
SWE,1,0,0
SWZ,1,0,0
SXM,1,0,0
SYC,1,0,0
SYR,4,0,0
TCA,2,0,0
TCD,3,0,0
TGO,2,0,0
THA,1,0,0
TJK,1,0,0
TKM,1,0,0
TLS,1,0,0
TON,1,0,0
TTO,2,0,0
TUN,2,0,0
TUR,3,0,0
TUV,1,0,0
TWN,1,0,0
TZA,2,0,0
UGA,2,0,0
UKR,2,0,0
URY,1,0,0
UZB,1,0,0
VCT,1,0,0
VEN,3,0,0
VGB,1,0,0
VNM,1,0,0
VUT,1,0,0
WSM,1,0,0
YEM,4,0,0
ZAF,2,0,0
ZMB,1,0,0
ZWE,2,0,0
GBR,2,0,0
FRA,2,0,0
ITA,2,0,0
CZE,1,0,0